Reg 0 - Cid 0: menor: 0, maior: 94, mediana: 62.50, media: 53.38 e DP: 31.82
Reg 2 - Cid 1: menor: 17, maior: 96, mediana: 68.50, media: 66.25 e DP: 23.19
Reg 2 - Cid 2: menor: 7, maior: 87, mediana: 59.50, media: 53.62 e DP: 25.77
Reg 2 - Cid 3: menor: 1, maior: 100, mediana: 41.50, media: 49.38 e DP: 31.30
Reg 2 - Cid 4: menor: 8, maior: 90, mediana: 59.00, media: 51.94 e DP: 26.45
Reg 2 - Cid 5: menor: 9, maior: 93, mediana: 62.00, media: 57.75 e DP: 24.38
Reg 2 - Cid 6: menor: 4, maior: 89, mediana: 51.00, media: 50.12 e DP: 30.34
Reg 2 - Cid 7: menor: 18, maior: 95, mediana: 59.00, media: 58.88 e DP: 23.96
Reg 2 - Cid 8: menor: 2, maior: 99, mediana: 44.00, media: 46.44 e DP: 30.84
Reg 2 - Cid 9: menor: 4, maior: 99, mediana: 37.00, media: 43.50 e DP: 30.47
Reg 2 - Cid 10: menor: 7, maior: 88, mediana: 43.50, media: 47.56 e DP: 22.60
Reg 2 - Cid 11: menor: 1, maior: 99, mediana: 64.50, media: 57.06 e DP: 27.87
Reg 2 - Cid 12: menor: 15, maior: 98, mediana: 75.50, media: 61.12 e DP: 31.51
Reg 2 - Cid 13: menor: 8, maior: 97, mediana: 49.00, media: 50.50 e DP: 25.87

Reg 3 - Cid 0: menor: 8, maior: 95, mediana: 70.00, media: 61.25 e DP: 29.95
Reg 3 - Cid 1: menor: 12, maior: 100, mediana: 44.00, media: 49.69 e DP: 25.94
Reg 3 - Cid 2: menor: 14, maior: 90, mediana: 56.50, media: 53.69 e DP: 26.82
Reg 3 - Cid 3: menor: 3, maior: 98, mediana: 40.00, media: 41.19 e DP: 27.21
Reg 3 - Cid 4: menor: 6, maior: 100, mediana: 62.50, media: 56.25 e DP: 32.42
Reg 3 - Cid 5: menor: 15, maior: 97, mediana: 48.00, media: 48.62 e DP: 23.62
Reg 3 - Cid 6: menor: 2, maior: 99, mediana: 43.50, media: 45.75 e DP: 26.51
Reg 3 - Cid 7: menor: 3, maior: 82, mediana: 66.00, media: 56.12 e DP: 25.42
Reg 3 - Cid 8: menor: 9, maior: 99, mediana: 62.50, media: 60.62 e DP: 28.82
Reg 3 - Cid 9: menor: 6, maior: 95, mediana: 38.00, media: 44.25 e DP: 29.01
Reg 3 - Cid 10: menor: 10, maior: 100, mediana: 42.50, media: 53.88 e DP: 26.33
Reg 3 - Cid 11: menor: 12, maior: 96, mediana: 66.00, media: 58.94 e DP: 29.32
Reg 3 - Cid 12: menor: 13, maior: 97, mediana: 52.00, media: 52.44 e DP: 30.63
Reg 3 - Cid 13: menor: 1, maior: 83, mediana: 42.50, media: 41.81 e DP: 24.79

Reg 4 - Cid 0: menor: 4, maior: 97, mediana: 44.50, media: 47.75 e DP: 25.11
Reg 4 - Cid 1: menor: 3, maior: 100, mediana: 39.50, media: 39.94 e DP: 29.25
Reg 4 - Cid 2: menor: 2, maior: 96, mediana: 45.50, media: 49.19 e DP: 32.14
Reg 4 - Cid 3: menor: 8, maior: 79, mediana: 23.00, media: 33.50 e DP: 23.57
Reg 4 - Cid 4: menor: 0, maior: 92, mediana: 40.00, media: 41.44 e DP: 27.93
Reg 4 - Cid 5: menor: 11, maior: 94, mediana: 53.00, media: 51.69 e DP: 24.79
Reg 4 - Cid 6: menor: 1, maior: 94, mediana: 39.50, media: 41.94 e DP: 27.64
Reg 4 - Cid 7: menor: 1, maior: 96, mediana: 47.00, media: 47.00 e DP: 25.17
Reg 4 - Cid 8: menor: 2, maior: 96, mediana: 49.50, media: 52.38 e DP: 31.63
Reg 4 - Cid 9: menor: 1, maior: 80, mediana: 26.50, media: 37.62 e DP: 27.00
Reg 4 - Cid 10: menor: 11, maior: 78, mediana: 48.00, media: 47.56 e DP: 22.56
Reg 4 - Cid 11: menor: 1, maior: 99, mediana: 59.50, media: 49.50 e DP: 31.02
Reg 4 - Cid 12: menor: 2, maior: 97, mediana: 50.00, media: 49.75 e DP: 28.60
Reg 4 - Cid 13: menor: 3, maior: 93, mediana: 49.50, media: 49.88 e DP: 28.59

Reg 5 - Cid 0: menor: 3, maior: 96, mediana: 66.00, media: 50.88 e DP: 34.20
Reg 5 - Cid 1: menor: 8, maior: 100, mediana: 58.00, media: 57.56 e DP: 26.77
Reg 5 - Cid 2: menor: 4, maior: 100, mediana: 28.50, media: 38.12 e DP: 27.93
Reg 5 - Cid 3: menor: 3, maior: 96, mediana: 56.00, media: 59.44 e DP: 26.85
Reg 5 - Cid 4: menor: 4, maior: 82, mediana: 54.50, media: 46.69 e DP: 29.49
Reg 5 - Cid 5: menor: 4, maior: 97, mediana: 48.00, media: 48.75 e DP: 24.34
Reg 5 - Cid 6: menor: 4, maior: 88, mediana: 37.00, media: 40.69 e DP: 22.75
Reg 5 - Cid 7: menor: 17, maior: 81, mediana: 44.00, media: 48.56 e DP: 17.96
Reg 5 - Cid 8: menor: 3, maior: 93, mediana: 31.50, media: 39.06 e DP: 29.05
Reg 5 - Cid 9: menor: 1, maior: 81, mediana: 22.00, media: 33.75 e DP: 25.65
Reg 5 - Cid 10: menor: 3, maior: 90, mediana: 53.50, media: 50.81 e DP: 25.15
Reg 5 - Cid 11: menor: 5, maior: 100, mediana: 50.50, media: 48.38 e DP: 27.44
Reg 5 - Cid 12: menor: 0, maior: 90, mediana: 53.50, media: 48.94 e DP: 28.56
Reg 5 - Cid 13: menor: 6, maior: 91, mediana: 40.00, media: 43.31 e DP: 29.73

Reg 6 - Cid 0: menor: 2, maior: 97, mediana: 39.50, media: 42.00 e DP: 30.18
Reg 6 - Cid 1: menor: 16, maior: 100, mediana: 70.00, media: 64.75 e DP: 21.91
Reg 6 - Cid 2: menor: 8, maior: 94, mediana: 32.50, media: 39.94 e DP: 25.63
Reg 6 - Cid 3: menor: 1, maior: 93, mediana: 72.00, media: 54.69 e DP: 33.81
Reg 6 - Cid 4: menor: 4, maior: 80, mediana: 34.50, media: 38.44 e DP: 23.50
Reg 6 - Cid 5: menor: 10, maior: 99, mediana: 54.50, media: 58.06 e DP: 30.14
Reg 6 - Cid 6: menor: 0, maior: 100, mediana: 53.00, media: 49.19 e DP: 32.60
Reg 6 - Cid 7: menor: 6, maior: 88, mediana: 51.00, media: 46.44 e DP: 28.27
Reg 6 - Cid 8: menor: 0, maior: 100, mediana: 43.00, media: 47.38 e DP: 32.43
Reg 6 - Cid 9: menor: 5, maior: 94, mediana: 65.50, media: 58.31 e DP: 32.91
Reg 6 - Cid 10: menor: 10, maior: 100, mediana: 68.50, media: 61.00 e DP: 26.75
Reg 6 - Cid 11: menor: 3, maior: 100, mediana: 51.50, media: 55.00 e DP: 29.74
Reg 6 - Cid 12: menor: 1, maior: 100, mediana: 53.50, media: 51.12 e DP: 34.50
Reg 6 - Cid 13: menor: 10, maior: 98, mediana: 88.50, media: 71.31 e DP: 28.30

Reg 7 - Cid 0: menor: 4, maior: 96, mediana: 45.00, media: 45.12 e DP: 26.12
Reg 7 - Cid 1: menor: 3, maior: 86, mediana: 57.00, media: 50.06 e DP: 27.47
Reg 7 - Cid 2: menor: 1, maior: 90, mediana: 41.00, media: 42.75 e DP: 25.78
Reg 7 - Cid 3: menor: 2, maior: 97, mediana: 57.50, media: 58.75 e DP: 27.31
Reg 7 - Cid 4: menor: 3, maior: 95, mediana: 55.50, media: 49.75 e DP: 27.11
Reg 7 - Cid 5: menor: 4, maior: 98, mediana: 52.50, media: 52.06 e DP: 31.43
Reg 7 - Cid 6: menor: 10, maior: 88, mediana: 34.50, media: 39.25 e DP: 22.97
Reg 7 - Cid 7: menor: 9, maior: 96, mediana: 69.50, media: 56.25 e DP: 33.78
Reg 7 - Cid 8: menor: 5, maior: 98, mediana: 41.00, media: 48.94 e DP: 31.05
Reg 7 - Cid 9: menor: 19, maior: 97, mediana: 50.00, media: 56.38 e DP: 25.59
Reg 7 - Cid 10: menor: 5, maior: 98, mediana: 66.00, media: 54.62 e DP: 33.79
Reg 7 - Cid 11: menor: 20, maior: 99, mediana: 55.50, media: 55.00 e DP: 25.23
Reg 7 - Cid 12: menor: 4, maior: 93, mediana: 58.50, media: 52.69 e DP: 27.07
Reg 7 - Cid 13: menor: 3, maior: 83, mediana: 48.50, media: 43.12 e DP: 23.42

Reg 8 - Cid 0: menor: 18, maior: 95, mediana: 41.00, media: 46.19 e DP: 24.62
Reg 8 - Cid 1: menor: 0, maior: 81, mediana: 45.50, media: 47.56 e DP: 23.17
Reg 8 - Cid 2: menor: 2, maior: 97, mediana: 42.50, media: 45.44 e DP: 28.21
Reg 8 - Cid 3: menor: 2, maior: 95, mediana: 53.50, media: 52.00 e DP: 27.13
Reg 8 - Cid 4: menor: 13, maior: 92, mediana: 51.50, media: 51.12 e DP: 25.59
Reg 8 - Cid 5: menor: 1, maior: 94, mediana: 62.50, media: 60.88 e DP: 24.05
Reg 8 - Cid 6: menor: 5, maior: 99, mediana: 46.50, media: 48.31 e DP: 28.19
Reg 8 - Cid 7: menor: 0, maior: 85, mediana: 50.50, media: 46.62 e DP: 25.03
Reg 8 - Cid 8: menor: 3, maior: 99, mediana: 70.50, media: 62.88 e DP: 30.12
Reg 8 - Cid 9: menor: 10, maior: 99, mediana: 48.50, media: 50.81 e DP: 27.20
Reg 8 - Cid 10: menor: 5, maior: 98, mediana: 50.50, media: 51.19 e DP: 29.82
Reg 8 - Cid 11: menor: 0, maior: 92, mediana: 33.00, media: 35.62 e DP: 23.49
Reg 8 - Cid 12: menor: 5, maior: 91, mediana: 54.00, media: 53.44 e DP: 21.90
Reg 8 - Cid 13: menor: 3, maior: 91, mediana: 45.50, media: 46.44 e DP: 29.66

Reg 9 - Cid 0: menor: 6, maior: 99, mediana: 52.00, media: 48.81 e DP: 26.18
Reg 9 - Cid 1: menor: 0, maior: 82, mediana: 33.50, media: 41.06 e DP: 26.19
Reg 9 - Cid 2: menor: 0, maior: 97, mediana: 46.50, media: 50.69 e DP: 28.91
Reg 9 - Cid 3: menor: 2, maior: 88, mediana: 50.50, media: 51.06 e DP: 25.38
Reg 9 - Cid 4: menor: 7, maior: 87, mediana: 52.00, media: 46.75 e DP: 26.50
Reg 9 - Cid 5: menor: 4, maior: 83, mediana: 51.50, media: 47.88 e DP: 25.22
Reg 9 - Cid 6: menor: 10, maior: 92, mediana: 52.00, media: 51.56 e DP: 27.88
Reg 9 - Cid 7: menor: 7, maior: 99, mediana: 72.00, media: 66.44 e DP: 24.70
Reg 9 - Cid 8: menor: 7, maior: 86, mediana: 39.50, media: 43.62 e DP: 20.86
Reg 9 - Cid 9: menor: 19, maior: 95, mediana: 55.50, media: 54.44 e DP: 27.64
Reg 9 - Cid 10: menor: 4, maior: 96, mediana: 31.00, media: 42.12 e DP: 26.92
Reg 9 - Cid 11: menor: 4, maior: 82, mediana: 35.50, media: 39.00 e DP: 24.48
Reg 9 - Cid 12: menor: 0, maior: 91, mediana: 48.00, media: 47.25 e DP: 27.44
Reg 9 - Cid 13: menor: 1, maior: 81, mediana: 27.50, media: 29.88 e DP: 20.75

Reg 10 - Cid 0: menor: 4, maior: 98, mediana: 54.50, media: 52.62 e DP: 26.53
Reg 10 - Cid 1: menor: 0, maior: 74, mediana: 50.00, media: 43.56 e DP: 19.81
Reg 10 - Cid 2: menor: 3, maior: 100, mediana: 45.00, media: 48.69 e DP: 32.37
Reg 10 - Cid 3: menor: 0, maior: 88, mediana: 43.00, media: 42.44 e DP: 25.83
Reg 10 - Cid 4: menor: 5, maior: 90, mediana: 54.00, media: 48.94 e DP: 25.88
Reg 10 - Cid 5: menor: 9, maior: 98, mediana: 33.50, media: 43.56 e DP: 27.12
Reg 10 - Cid 6: menor: 1, maior: 98, mediana: 59.00, media: 52.19 e DP: 33.31
Reg 10 - Cid 7: menor: 2, maior: 95, mediana: 35.50, media: 39.88 e DP: 28.36
Reg 10 - Cid 8: menor: 20, maior: 98, mediana: 57.00, media: 53.62 e DP: 24.57
Reg 10 - Cid 9: menor: 3, maior: 99, mediana: 48.50, media: 49.00 e DP: 29.96
Reg 10 - Cid 10: menor: 6, maior: 94, mediana: 42.00, media: 46.69 e DP: 28.88
Reg 10 - Cid 11: menor: 0, maior: 98, mediana: 34.50, media: 39.81 e DP: 30.82
Reg 10 - Cid 12: menor: 1, maior: 100, mediana: 44.00, media: 47.75 e DP: 32.36
Reg 10 - Cid 13: menor: 16, maior: 94, mediana: 53.50, media: 53.31 e DP: 28.37

Reg 11 - Cid 0: menor: 3, maior: 100, mediana: 60.50, media: 53.81 e DP: 31.71
Reg 11 - Cid 1: menor: 7, maior: 95, mediana: 55.00, media: 54.25 e DP: 26.00
Reg 11 - Cid 2: menor: 3, maior: 94, mediana: 29.00, media: 33.38 e DP: 26.41
Reg 11 - Cid 3: menor: 0, maior: 96, mediana: 45.00, media: 48.81 e DP: 29.06
Reg 11 - Cid 4: menor: 18, maior: 94, mediana: 63.50, media: 65.62 e DP: 20.53
Reg 11 - Cid 5: menor: 1, maior: 97, mediana: 52.00, media: 51.38 e DP: 29.51
Reg 11 - Cid 6: menor: 4, maior: 97, mediana: 39.50, media: 43.00 e DP: 29.82
Reg 11 - Cid 7: menor: 4, maior: 98, mediana: 73.00, media: 61.44 e DP: 30.22
Reg 11 - Cid 8: menor: 5, maior: 100, mediana: 49.50, media: 47.38 e DP: 30.58
Reg 11 - Cid 9: menor: 8, maior: 80, mediana: 49.50, media: 45.00 e DP: 22.76
Reg 11 - Cid 10: menor: 0, maior: 94, mediana: 48.50, media: 46.50 e DP: 29.41
Reg 11 - Cid 11: menor: 3, maior: 90, mediana: 51.00, media: 49.06 e DP: 26.09
Reg 11 - Cid 12: menor: 1, maior: 92, mediana: 50.00, media: 48.25 e DP: 26.56
Reg 11 - Cid 13: menor: 4, maior: 95, mediana: 57.50, media: 49.44 e DP: 30.49

Reg 12 - Cid 0: menor: 0, maior: 99, mediana: 37.00, media: 39.62 e DP: 29.61
Reg 12 - Cid 1: menor: 10, maior: 99, mediana: 58.00, media: 55.75 e DP: 25.30
Reg 12 - Cid 2: menor: 0, maior: 97, mediana: 28.50, media: 36.75 e DP: 29.27
Reg 12 - Cid 3: menor: 0, maior: 99, mediana: 46.50, media: 48.56 e DP: 35.42
Reg 12 - Cid 4: menor: 0, maior: 100, mediana: 59.00, media: 56.00 e DP: 33.37
Reg 12 - Cid 5: menor: 6, maior: 90, mediana: 25.00, media: 37.62 e DP: 27.93
Reg 12 - Cid 6: menor: 8, maior: 100, mediana: 34.00, media: 42.50 e DP: 29.28
Reg 12 - Cid 7: menor: 2, maior: 99, mediana: 54.00, media: 54.81 e DP: 28.64
Reg 12 - Cid 8: menor: 5, maior: 98, mediana: 59.50, media: 52.75 e DP: 30.74
Reg 12 - Cid 9: menor: 4, maior: 97, mediana: 46.00, media: 49.44 e DP: 28.38
Reg 12 - Cid 10: menor: 13, maior: 99, mediana: 61.00, media: 56.19 e DP: 25.27
Reg 12 - Cid 11: menor: 9, maior: 100, mediana: 58.50, media: 52.44 e DP: 33.45
Reg 12 - Cid 12: menor: 0, maior: 99, mediana: 66.50, media: 64.06 e DP: 27.20
Reg 12 - Cid 13: menor: 0, maior: 99, mediana: 52.00, media: 52.75 e DP: 31.30

Reg 0: menor: 0, maior: 100, mediana: 51.00, media: 50.66 e DP: 28.61
Reg 1: menor: 0, maior: 100, mediana: 48.50, media: 48.82 e DP: 28.69
Reg 2: menor: 1, maior: 100, mediana: 54.50, media: 53.38 e DP: 28.12
Reg 3: menor: 1, maior: 100, mediana: 51.00, media: 51.75 e DP: 28.49
Reg 4: menor: 0, maior: 100, mediana: 43.50, media: 45.65 e DP: 28.21
Reg 5: menor: 0, maior: 100, mediana: 47.00, media: 46.78 e DP: 27.98
Reg 6: menor: 0, maior: 100, mediana: 54.00, media: 52.69 e DP: 30.98
Reg 7: menor: 1, maior: 99, mediana: 51.50, media: 50.34 e DP: 28.52
Reg 8: menor: 0, maior: 99, mediana: 51.00, media: 49.89 e DP: 27.19
Reg 9: menor: 0, maior: 99, mediana: 44.50, media: 47.18 e DP: 26.99
Reg 10: menor: 0, maior: 100, mediana: 46.50, media: 47.29 e DP: 28.77
Reg 11: menor: 0, maior: 100, mediana: 51.00, media: 49.81 e DP: 28.97
Reg 12: menor: 0, maior: 100, mediana: 49.00, media: 49.95 e DP: 30.79

Brasil: menor: 0, maior: 100, mediana: 50.00, media: 49.45 e DP: 28.46

Melhor regiao: Regiao 2
Melhor cidade: Regiao 6, Cidade 13
Tempo de resposta sem considerar E/S, em segundos: 0.001
